acq_date,year,quarter,month_num,month_name,week,is_dry_season,datetime,province,latitude,longitude,frp,brightness,conf_label,daynight,dist_school_km,schools_5km,prov_pop,intensity_score,exposure_score,risk_score,risk_tier
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,0.72838,109.79279,7.08,340.34,Nominal,D,0.9174346574961264,9,4395983,0.44385096853493344,0.7385411364597502,0.6059305608935827,Tinggi
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,0.93454,111.10967,4.97,343.53,Nominal,D,2.568429642886464,2,4395983,0.4210646583100748,0.5575235765403987,0.496117063336753,Sedang
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,0.73546,109.78662,4.88,332.5,Nominal,D,0.2082640322663856,10,4395983,0.40585156551590373,0.8070259346694355,0.6264974685503463,Kritis
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,0.82223,110.33766,6.0,331.79,Nominal,D,2.901700697108058,3,4395983,0.42039666698167577,0.5535218935058437,0.4936155415699681,Sedang
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,0.75041,109.75185,3.96,332.64,Nominal,D,2.6328284393884513,10,4395983,0.39096188896154516,0.6227395077778435,0.5184395793105092,Sedang
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,0.7637,109.75989,25.24,343.6,Nominal,D,1.6956832027476225,8,4395983,0.5522441043248598,0.6729534350675463,0.6186342362333375,Tinggi
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,0.86834,110.38407,4.59,334.99,Nominal,D,0.1313014787069591,4,4395983,0.4045039760496971,0.7725665553915525,0.6069383946877176,Tinggi
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,0.87433,110.32284,9.55,332.84,Nominal,D,1.4726652071552413,1,4395983,0.4580386131420704,0.6092736247742688,0.5412178695397796,Sedang
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,0.88329,110.33085,8.75,332.95,Nominal,D,0.16485750141947136,1,4395983,0.4511945339755957,0.7206170250244696,0.5993769040524763,Tinggi
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,0.92376,110.29186,3.78,332.57,Nominal,D,2.9563225829115782,2,4395983,0.3876008643296871,0.5351938277961952,0.46877699423626656,Rendah
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,0.92822,110.29582,7.5,345.77,Nominal,D,2.7916736035649294,2,4395983,0.4551650105882997,0.5444609814199147,0.504277794545688,Sedang
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,0.92754,110.29124,7.5,334.15,Nominal,D,2.555665615148354,2,4395983,0.4405550904274561,0.5582882063542798,0.5053083041872092,Sedang
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,0.92685,110.28667,4.24,332.47,Nominal,D,2.4096165082230496,2,4395983,0.39561055826050084,0.5671776561640393,0.489972462107447,Sedang
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,0.93269,110.29981,4.29,330.02,Nominal,D,2.781734349714038,2,4395983,0.39337102491915943,0.5450302324462236,0.4767835890590448,Rendah
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,0.92845,110.29747,11.51,334.89,Nominal,D,2.895676614068801,2,4395983,0.47570405802055016,0.5385717955907626,0.5102813136841671,Sedang
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,0.93295,110.30145,2.88,331.12,Nominal,D,2.915757625414593,2,4395983,0.36730719843048776,0.537448747144889,0.4608850502234085,Rendah
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,0.88037,109.63265,7.29,337.93,Nominal,D,2.533003117854423,3,4395983,0.4430927035417308,0.5749380972113856,0.5156076700600409,Sedang
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,0.8939,109.58916,5.11,331.03,Nominal,D,4.048012893062578,3,4395983,0.40740072253087767,0.49618536451831763,0.4562322756239697,Rendah
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,0.88538,109.53335,59.74,336.24,Nominal,D,0.31569673145488514,9,4395983,0.6173060935992886,0.7917660820167625,0.7132590872288993,Kritis
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,1.04088,110.1981,6.35,337.87,Nominal,D,3.7040228246312394,5,4395983,0.43236113286617117,0.5335795003796386,0.48803123499857837,Sedang
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN TIMUR,2.25244,117.95123,19.22,336.3,Nominal,D,6.430161294103112,0,3553143,0.5199902931086912,0.2761927918733943,0.3859016674292779,Rendah
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,0.55725,110.14596,7.51,337.84,Nominal,D,3.0098477942222117,4,4395983,0.4452986644598167,0.5593916932463026,0.5080498302923839,Sedang
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN TIMUR,-0.53417,116.40623,2.9,332.78,Nominal,D,1.4119251143685743,5,3553143,0.36984956535649527,0.6102162780748297,0.5020512573515792,Sedang
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN TIMUR,-0.53889,115.77791,4.74,331.22,Nominal,D,2.2052179081389447,3,3553143,0.4021085391102639,0.533360463504924,0.47429709752732707,Rendah
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN TIMUR,-0.40763,116.22231,3.81,333.37,Nominal,D,1.5781532389962039,6,3553143,0.3891606840776335,0.6060805970920106,0.5084666362355409,Sedang
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN TIMUR,-0.14864,117.10036,4.39,337.57,Nominal,D,6.542318990994155,0,3553143,0.4045218601337811,0.27312765037888176,0.33225504476858647,Rendah
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN TIMUR,-0.13378,116.9398,4.54,339.34,Nominal,D,2.62075049860305,5,3553143,0.40917772541529496,0.5292537847418108,0.4752195580448787,Rendah
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN TIMUR,0.49182,117.50387,10.41,346.14,Nominal,D,0.1149828643999304,41,3553143,0.4816994296889566,0.8252635240518564,0.6706596815885515,Kritis
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,-0.24846,111.92082,25.34,351.9,Nominal,D,3.2803487700785063,2,4395983,0.5630165558446549,0.517823784184779,0.5381605314317233,Sedang
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,-0.24494,111.9203,16.11,336.83,Nominal,D,3.595796104419631,2,4395983,0.5058691598956783,0.5019612815437751,0.5037198268021316,Sedang
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,-0.23204,111.93443,12.02,348.37,Nominal,D,3.9953550163352745,3,4395983,0.4961906042848311,0.49854120738905283,0.49748343599215306,Sedang
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,-0.23321,111.92657,5.35,342.79,Nominal,D,4.295903926014368,2,4395983,0.42559805808251117,0.47013488444682383,0.4500933125828832,Rendah
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,-0.31391,110.96004,45.55,343.68,Nominal,D,1.672862207956795,2,4395983,0.6031013189290447,0.6162024422313863,0.6103069367453327,Tinggi
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,-0.32551,110.80752,4.89,331.84,Nominal,D,2.5347636149227406,10,4395983,0.4051721977769439,0.62858868182939,0.5280512640057893,Sedang
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,-0.30313,110.85519,10.75,337.54,Nominal,D,2.6565598304119247,6,4395983,0.47348647797727905,0.5973226162396128,0.5415963540215626,Sedang
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,-0.28764,110.93336,20.8,341.96,Nominal,D,2.766331270778399,4,4395983,0.5337684415012174,0.5730600116656689,0.5553788050916657,Sedang
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,-0.30685,110.80476,7.22,334.66,Nominal,D,0.9196714427565116,11,4395983,0.4382304817589733,0.7480435946914937,0.6086276938718596,Tinggi
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,-0.27525,110.86358,9.11,344.58,Nominal,D,1.5231375213483387,8,4395983,0.4690274007981541,0.6854598846175273,0.5880652668988093,Tinggi
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,-0.2771,110.86446,9.26,344.07,Nominal,D,1.3119666851569576,8,4395983,0.4696902193975351,0.7013650872167391,0.5971113966980973,Tinggi
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,-0.20543,110.96139,13.31,339.64,Nominal,D,1.212419897599127,7,4395983,0.49357914490719634,0.7028400330062147,0.6086726333616564,Tinggi
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,0.01954,112.08432,34.84,341.18,Nominal,D,4.1790745383097265,1,4395983,0.5768073546200786,0.4535944866549064,0.509040277239234,Sedang
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN TIMUR,0.95415,117.91212,5.32,335.5,Nominal,D,3.260253802178828,2,3553143,0.41601297686214034,0.4568787976057138,0.4384891782711058,Rendah
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,-0.13864,110.68584,9.41,331.7,Nominal,D,2.0004265351522097,4,4395983,0.45542243657843673,0.6206572344531494,0.5463015754095287,Sedang
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,-0.09448,110.85216,15.97,341.52,Nominal,D,2.8473696726654185,6,4395983,0.5110384639852367,0.5863175032896031,0.5524419356026382,Sedang
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,-0.06769,110.66745,49.68,331.46,Nominal,D,2.65555701862794,1,4395983,0.5952635631244816,0.5308095354040073,0.5598138478782207,Tinggi
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,-0.06394,110.66689,49.68,329.74,Nominal,D,2.7925582626109455,2,4395983,0.5931009931867319,0.544410369150081,0.5663211499665739,Tinggi
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,0.19804,112.26433,4.73,336.75,Nominal,D,2.084123613615403,2,4395983,0.40890706211587247,0.587948662681595,0.5073799424270199,Sedang
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,0.19746,112.26048,4.73,333.13,Nominal,D,2.4968320249061193,2,4395983,0.4043556067817714,0.5618379800948257,0.4909709121039513,Sedang
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,-0.11809,110.18546,17.33,333.32,Nominal,D,1.191590949132224,3,4395983,0.5075545010280166,0.6676438822403024,0.5956036606947738,Tinggi
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN TIMUR,0.85471,116.58498,3.19,329.29,Nominal,D,12.675400830788384,0,3553143,0.3718122417284142,0.1776378965944882,0.2650163519047549,Rendah
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,0.06664,110.7859,3.37,332.09,Nominal,D,1.2537015329137076,6,4395983,0.3790570288539179,0.6925182156468134,0.5514606815900104,Sedang
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,-0.12004,109.54286,5.2,336.52,Nominal,D,1.0438760819948734,15,4395983,0.4155980672378319,0.7531246541024875,0.6012376900133926,Tinggi
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,0.45808,112.99013,3.49,333.99,Nominal,D,2.8621564169456435,2,4395983,0.3838445197435658,0.5404565200465908,0.4699811199102296,Rendah
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,0.15947,110.92432,15.35,334.59,Nominal,D,1.0927669340944288,6,4395983,0.4990298169076334,0.7052462792795103,0.6124488712121657,Tinggi
